date,close,volume
2015-01-02,27.51,18792341
2015-01-05,27.57,40533516
2015-01-06,27.44,42766497
2015-01-07,27.52,30990143
2015-01-08,27.49,31327782
2015-01-09,27.85,28077721
2015-01-12,27.53,23301120
2015-01-13,27.54,20731636
2015-01-14,27.54,13838634
2015-01-15,28.14,20595238
2015-01-16,27.77,24765319
2015-01-20,28.05,41718447
2015-01-21,27.84,37520468
2015-01-22,28.19,52911076
2015-01-23,28.22,39341900
2015-01-26,28.26,17587755
2015-01-27,28.09,30107586
2015-01-28,27.89,40294336
2015-01-29,27.7,17373871
2015-01-30,27.9,26681026
2015-02-02,27.78,27498345
2015-02-03,27.2,27594315
2015-02-04,27.66,40405465
2015-02-05,27.95,25069013
2015-02-06,28.32,34760141
2015-02-09,28.4,22166557
2015-02-10,28.52,29889125
2015-02-11,28.27,37804281
2015-02-12,27.89,30191994
2015-02-13,27.6,36156867
2015-02-17,27.49,30385035
2015-02-18,27.37,10794057
2015-02-19,27.51,28418958
2015-02-20,27.36,26684125
2015-02-23,26.84,37853172
2015-02-24,26.71,27108427
2015-02-25,26.67,37466403
2015-02-26,26.41,25683637
2015-02-27,26.33,37974894
2015-03-02,26.65,44300349
2015-03-03,26.48,29024092
2015-03-04,26.19,23021596
2015-03-05,26.02,41507260
2015-03-06,25.62,55445435
2015-03-09,25.39,44691981
2015-03-10,25.37,20032986
2015-03-11,25.26,24946266
2015-03-12,25.09,39552706
2015-03-13,25.34,37482241
2015-03-16,25.45,22754556
2015-03-17,25.55,25562174
2015-03-18,25.73,29569341
2015-03-19,25.65,23546967
2015-03-20,25.6,23843094
2015-03-23,25.8,33648544
2015-03-24,25.86,26873324
2015-03-25,25.51,37054173
2015-03-26,25.45,16977651
2015-03-27,25.8,27119311
2015-03-30,25.72,29942542
2015-03-31,25.08,35416448
2015-04-01,24.48,31940049
2015-04-02,24.73,38680045
2015-04-06,24.41,13114055
2015-04-07,24.32,20052821
2015-04-08,24.12,27309043
2015-04-09,23.9,25953102
2015-04-10,23.48,44167037
2015-04-13,23.34,37494085
2015-04-14,23.21,22863984
2015-04-15,22.79,27382350
2015-04-16,22.57,34925496
2015-04-17,22.37,25885472
2015-04-20,22.8,41083446
2015-04-21,23.03,18183870
2015-04-22,22.95,19174038
2015-04-23,22.91,28371247
2015-04-24,22.92,23244947
2015-04-27,22.67,27843342
2015-04-28,23.42,56311669
2015-04-29,23.78,28834771
2015-04-30,23.54,25339116
2015-05-01,23.54,44023254
2015-05-04,23.88,39844916
2015-05-05,23.66,28369849
2015-05-06,23.91,37084309
2015-05-07,23.89,35909912
2015-05-08,23.07,32173270
2015-05-11,23.21,27273522
2015-05-12,23.66,20514824
2015-05-13,23.48,34884498
2015-05-14,23.79,29889801
2015-05-15,24.04,28951504
2015-05-18,24.39,17525408
2015-05-19,24.56,24652406
2015-05-20,25.12,20954636
2015-05-21,25.39,40070225
2015-05-22,25.49,36735351
2015-05-26,25.14,20232099
2015-05-27,24.96,24672808
2015-05-28,25.03,20770083
2015-05-29,25.1,19307397
2015-06-01,25.31,47806483
2015-06-02,25.56,28800636
2015-06-03,24.67,42118302
2015-06-04,24.74,25430806
2015-06-05,23.82,55389360
2015-06-08,24.03,33945840
2015-06-09,24.25,39348261
2015-06-10,24.09,20043552
2015-06-11,23.97,45085354
2015-06-12,24.22,21396270
2015-06-15,24.14,14854411
2015-06-16,23.62,32247860
2015-06-17,23.18,68923588
2015-06-18,22.42,57203108
2015-06-19,22.49,25200611
2015-06-22,22.28,30271917
2015-06-23,22.58,33452103
2015-06-24,22.11,30851028
2015-06-25,22.55,18022605
2015-06-26,22.68,28160254
2015-06-29,22.97,53349716
2015-06-30,23.72,45117836
2015-07-01,24.16,22396974
2015-07-02,24.18,17217159
2015-07-06,24.07,31761134
2015-07-07,24.04,23790160
2015-07-08,23.98,20639586
2015-07-09,23.94,15741454
2015-07-10,24.61,25828001
2015-07-13,24.25,38904772
2015-07-14,23.95,33625114
2015-07-15,24.98,33539382
2015-07-16,25.39,29655889
2015-07-17,25.1,31423918
2015-07-20,25.71,38981550
2015-07-21,26.05,42437322
2015-07-22,25.57,27495120
2015-07-23,26.15,29570280
2015-07-24,26.26,33532081
2015-07-27,26.08,23372807
2015-07-28,25.99,26445516
2015-07-29,25.75,22936058
2015-07-30,26.09,30380876
2015-07-31,26.3,34084995
2015-08-03,25.93,29316332
2015-08-04,26.17,34986845
2015-08-05,25.48,40092387
2015-08-06,25.47,20688805
2015-08-07,25.32,29566531
2015-08-10,25.36,36293046
2015-08-11,26.51,49157553
2015-08-12,26.38,20963278
2015-08-13,26.77,24970112
2015-08-14,27.07,48255608
2015-08-17,26.51,23202329
2015-08-18,26.6,27119053
2015-08-19,26.87,25748712
2015-08-20,27.02,23537536
2015-08-21,27.39,52503064
2015-08-24,28.36,39882944
2015-08-25,27.69,39851327
2015-08-26,27.94,21440069
2015-08-27,28.17,34557572
2015-08-28,27.59,26133659
2015-08-31,27.38,17813369
2015-09-01,26.98,19136055
2015-09-02,26.22,66491139
2015-09-03,26.32,22261763
2015-09-04,27.27,40498931
2015-09-08,28.17,39999321
2015-09-09,27.06,41751088
2015-09-10,26.76,30151521
2015-09-11,25.88,40201705
2015-09-14,25.85,28986479
2015-09-15,25.42,27745949
2015-09-16,25.16,25285042
2015-09-17,24.67,32610934
2015-09-18,24.66,34763174
2015-09-21,24.56,40517576
2015-09-22,24.78,32345938
2015-09-23,26.05,70862963
2015-09-24,26.07,19920900
2015-09-25,26.17,26149227
2015-09-28,26.1,57167713
2015-09-29,26.58,37777037
2015-09-30,26.12,35505143
2015-10-01,25.06,56396238
2015-10-02,24.44,36829509
2015-10-05,24.83,41922194
2015-10-06,24.16,24998668
2015-10-07,24.33,35989939
2015-10-08,24.59,26117949
2015-10-09,25.0,25108565
2015-10-12,25.45,42499794
2015-10-13,25.86,56011798
2015-10-14,26.56,27720894
2015-10-15,26.52,19464280
2015-10-16,26.28,30389780
2015-10-19,26.05,43416091
2015-10-20,25.26,30536651
2015-10-21,26.16,36684226
2015-10-22,26.68,41118134
2015-10-23,27.09,26478783
2015-10-26,27.34,26755327
2015-10-27,27.29,46741683
2015-10-28,27.18,13281465
2015-10-29,27.35,37779187
2015-10-30,27.45,32613133
2015-11-02,28.71,54151680
2015-11-03,28.28,33032798
2015-11-04,27.25,39253527
2015-11-05,27.16,30754832
2015-11-06,26.93,36978852
2015-11-09,26.8,19066987
2015-11-10,25.99,48604346
2015-11-11,25.19,31447722
2015-11-12,25.75,26874231
2015-11-13,25.73,29440019
2015-11-16,26.1,19687991
2015-11-17,25.46,39661095
2015-11-18,26.05,58150297
2015-11-19,25.35,31358178
2015-11-20,24.89,25780958
2015-11-23,25.39,17687453
2015-11-24,26.04,31960659
2015-11-25,25.18,52604961
2015-11-27,25.26,26098735
2015-11-30,25.33,49027659
2015-12-01,25.14,32097751
2015-12-02,24.92,32144843
2015-12-03,25.09,48438831
2015-12-04,24.76,22114700
2015-12-07,25.1,27250363
2015-12-08,25.1,15230127
2015-12-09,25.53,44076790
2015-12-10,26.41,34446717
2015-12-11,26.17,27710832
2015-12-14,26.62,41821391
2015-12-15,26.86,28652260
2015-12-16,27.2,34904730
2015-12-17,27.24,46142051
2015-12-18,27.45,27350828
2015-12-21,27.22,31593748
2015-12-22,27.36,22501236
2015-12-23,27.6,30353241
2015-12-24,27.46,39144188
2015-12-28,28.23,38371849
2015-12-29,27.41,23119135
2015-12-30,27.66,32102996
2015-12-31,27.58,20756958
2016-01-04,27.43,33038114
2016-01-05,27.94,23838705
2016-01-06,27.98,40553254
2016-01-07,28.22,26140740
2016-01-08,28.02,28847732
2016-01-11,28.4,27784612
2016-01-12,28.62,17478121
2016-01-13,28.45,38237486
2016-01-14,29.03,32166223
2016-01-15,29.01,29206826
2016-01-19,28.61,32552829
2016-01-20,28.4,34294772
2016-01-21,27.99,34717227
2016-01-22,28.08,20567377
2016-01-25,27.4,26596993
2016-01-26,27.74,29513927
2016-01-27,27.36,19266298
2016-01-28,28.21,44121854
2016-01-29,28.67,53122184
2016-02-01,28.95,15853146
2016-02-02,28.65,33091916
2016-02-03,28.75,27545536
2016-02-04,28.84,34338894
2016-02-05,29.08,28657593
2016-02-08,29.02,24844173
2016-02-09,29.08,19091218
2016-02-10,29.47,24794084
2016-02-11,29.72,34333681
2016-02-12,30.37,26549971
2016-02-16,30.39,17703054
2016-02-17,30.34,22893054
2016-02-18,29.81,21655277
